Tweet,Sentiment
Today's New Podcast: https://t.co/5qZ9kyWSPR,neutral
As Scotlands international contemporary music ensemble @rednoteensemble perform in numerous venues across the coun https://t.co/eoqfPan0mY,neutral
"New music, exciting tours, and being billed alongside Eminem, Kendrick Lamar and The Arctic Monkeys...2018 looks li https://t.co/gjvNj6ttqu",neutral
ADHRB Weekly: Bahrain Sentences Nabeel Rajab to Additional 5-Year Prison Term in Blatant Violation of Free Expressi https://t.co/i51AJYeXKx,neutral
"@NY5Mets @RichCimini @SandoESPN Nothing around him?
https://t.co/o3F0ZS9s9N

Desean Jackson, Pierre Garcon, Jordan https://t.co/eUOhKgBTGy",neutral
New York Dragons Statement Year https://t.co/KfOFY7jTqi,neutral
Trend toward hiring new collar tech workers without a four-year college degree spurred by IBM CEO Ginni Rometty i https://t.co/ZPbOmNiow5,neutral
Ive never made a New Years resolution  Never understood the point. One moment can change it https://t.co/ale2WDM9Ge,negative
"The year is 2018, Underoath is back together and releasing a brand new record, and Im nearly crying at work because of how happy I am.",negative
SAVE MEEE code is hard harambe dead meme HAP EE NEW YEAR banana #usa wee homer simpson lol 15 TV,neutral
